run_id,timestamp,platform_tag,model,model_path,model_size_mb,test_id,source,device_arg,device_name,jetson_model,os,python_version,torch_version,torch_cuda_version,ultralytics_version,opencv_version,imgsz,conf,iou,capture_width,capture_height,capture_reported_fps,duration_s,processed_frames,avg_fps_e2e,median_fps_e2e,p05_fps_e2e,mean_preprocess_ms,mean_inference_ms,median_inference_ms,p95_inference_ms,mean_postprocess_ms,total_detections,fire_detections,smoke_detections,frames_with_any_detection,frames_with_fire,frames_with_smoke,any_detection_frame_rate_pct,fire_frame_rate_pct,smoke_frame_rate_pct,mean_detection_confidence,max_detection_confidence
JETSON_FP16_YOLO11-S-OPT_fp16_camera_20260813_204014,20260813_204014,JETSON_FP16,YOLO11-S-OPT,/home/mikumi/Desktop/YOLO11_Jetson_Optimization_Pack/models/yolo11s_best_fp16.engine,21.289,fp16_camera,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.102,444,7.4935,7.4204,7.1407,6.6893,23.5907,23.3492,23.8295,8.3267,786,675,111,363,355,93,81.757,79.955,20.946,0.4149,0.8832
JETSON_FP16_YOLO11-S-OPT_fp16_smoke_20260813_204846,20260813_204846,JETSON_FP16,YOLO11-S-OPT,/home/mikumi/Desktop/YOLO11_Jetson_Optimization_Pack/models/yolo11s_best_fp16.engine,21.289,fp16_smoke,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.048,446,7.4404,7.4518,7.1318,6.8826,29.3534,29.4629,31.5036,6.183,237,7,230,172,7,169,38.565,1.57,37.892,0.393,0.8205
JETSON_FP16_YOLO11-S-OPT_fp16_mixed_20260813_205144,20260813_205144,JETSON_FP16,YOLO11-S-OPT,/home/mikumi/Desktop/YOLO11_Jetson_Optimization_Pack/models/yolo11s_best_fp16.engine,21.289,fp16_mixed,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.13,442,7.3962,7.4629,7.0634,6.8174,28.6457,28.7527,31.4578,5.8123,342,194,148,146,85,125,33.032,19.231,28.281,0.3997,0.8135
JETSON_FP16_YOLO11-S-OPT_fp16_negative_20260813_205422,20260813_205422,JETSON_FP16,YOLO11-S-OPT,/home/mikumi/Desktop/YOLO11_Jetson_Optimization_Pack/models/yolo11s_best_fp16.engine,21.289,fp16_negative,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.013,443,7.4167,7.4625,7.1907,6.7171,27.6074,27.8439,29.9385,4.4534,0,0,0,0,0,0,0.0,0.0,0.0,,
JETSON_YOLO11-S-OPT_int8_fire_20260813_223517,20260813_223517,JETSON,YOLO11-S-OPT,/home/mikumi/Desktop/YOLO11_Jetson_Optimization_Pack/models/yolo11s_best_int8.engine,13.326,int8_fire,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.122,442,7.413,7.3942,7.1202,6.7678,20.6098,20.5595,20.8503,6.7977,526,446,80,301,281,77,68.1,63.575,17.421,0.4387,0.8329
JETSON_YOLO11-S-OPT_int8_smoke_20260813_223832,20260813_223832,JETSON,YOLO11-S-OPT,/home/mikumi/Desktop/YOLO11_Jetson_Optimization_Pack/models/yolo11s_best_int8.engine,13.326,int8_smoke,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.036,443,7.417,7.3752,7.0616,7.0502,20.5895,20.5692,20.638,5.5511,180,0,180,154,0,154,34.763,0.0,34.763,0.3301,0.7715
JETSON_YOLO11-S-OPT_int8_mixed_20260813_224106,20260813_224106,JETSON,YOLO11-S-OPT,/home/mikumi/Desktop/YOLO11_Jetson_Optimization_Pack/models/yolo11s_best_int8.engine,13.326,int8_mixed,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.12,445,7.4231,7.3763,7.0637,6.8442,20.5901,20.5461,20.6435,5.0507,212,117,95,109,62,84,24.494,13.933,18.876,0.3786,0.8791
JETSON_YOLO11-S-OPT_int8_Negative_20260813_224252,20260813_224252,JETSON,YOLO11-S-OPT,/home/mikumi/Desktop/YOLO11_Jetson_Optimization_Pack/models/yolo11s_best_int8.engine,13.326,int8_Negative,0,0,Orin,NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super,Linux-5.15.148-tegra-aarch64-with-glibc2.35,3.10.12,2.8.0,12.6,8.4.115,5.0.0,640,0.15,0.7,1280,720,7.5,60.012,444,7.4233,7.3814,7.3128,6.9194,20.6103,20.5733,20.6927,4.3031,0,0,0,0,0,0,0.0,0.0,0.0,,
